CNPJ,razon_social,Nome comercial,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cep,correo_comercial,Telefone,Segmento,Área de atuação,Data de abertura,Porte da empresa,Optante simples nacional,Natureza jurídica,Capital social,Número de funcionários
54.593.629/0001-11,Ar Frio Ar Condicionado e Comercio Osasco Ltda,Refrigeracao Osasco,Novo Osasco,54,,Bussocaba,Osasco,SP,06056-010,vendas@arfrioar.com,(11) 3609-9000,Varejo,Comércio varejista de outros produtos ,22/07/1985,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 80000,00",
00.902.385/0001-82,Gdo Representacoes Comerciais e Assessoria Ltda,Cayuela,R Barao do Triunfo,88,Sala 403,Broolin Paulista,São Paulo,SP,04602-000,gdo@gdor.com.br,,Varejo,Outros representantes comerciais e agentes do comércio especializado em produtos ,01/11/1995,Micro empresa,Optante,Sociedade Empresária Limitada,,
52.969.458/0001-57,Panorama Comercio de Materiais Para Construcao Eireli,,Av Avenida Silvio Ribeiro Aragao,01E111,,Parque Arariba,São Paulo,SP,05776-510,contato@depositopanorama.com.br,(11) 3445-9307,Varejo,Comércio varejista de materiais de construção ,17/10/1983,Empresa de pequeno porte,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 90000,00",
11.606.199/0001-12,Stella Bruna Santo Sociedade de Advogados,Stella Bruna Santo Sociedade de Advogados,R Frei Caneca,558,Andar 18 Conj 1803,Consolacao,São Paulo,SP,01307-000,stella@stellabruna.com.br,(11) 4324-4332,Serviços Empresariais,Serviços advocatícios,24/11/2009,Demais,Optante,Sociedade Simples Pura,"R$ 1000,00",
01.300.053/0001-90,Rujam Servicos Empresariais Ltda,,R Cambauba,1581,Apt 305 Jd.guanabara,Ilha do Governador,Rio de Janeiro,RJ,21940-000,kmm@majur.com.br,(21) 2467-1742,Serviços Empresariais,Preparação de documentos e serviços especializados de apoio administrativo ,09/07/1996,Micro empresa,Optante,Sociedade Simples Limitada,,
07.362.180/0001-09,"Rhegente Contabilidade, Locacao e Vendas Eireli",Rhegente,Palestina,260,Slj,Vila Mascote,São Paulo,SP,04362-030,carlosmarques@rhegente.com.br,(11) 5566-4454,Contabilidade,Atividades de contabilidade,13/04/2005,Micro empresa,Excluído,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 88000,00",
73.492.332/0001-04,Tele Dois Equipamentos Telefonicos Ltda,,R 28 de Novembro,77,,Centro,Dois Vizinhos,PR,85660-000,teledois@teledois.com.br,,Telecomunicações,Comércio varejista especializado de equipamentos de telefonia e comunicação,13/10/1993,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
21.399.411/0001-71,F?rmula Bichos Manipula??o Ltda.,,General Osorio,100,,Hamburgo Velho,Novo Hamburgo,RS,93510-160,atendimento@formulabichos.com.br,(51) 3036-6030,Medicina e Saúde,"Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas",06/11/2014,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 80000,00",
16.584.863/0001-93,Aceflex do Nordeste Ltda,Conteflex,Av Sudene,S/N,Anexo 2,Cis Tomba,Feira de Santana,BA,44010-025,conteflex@conteflex.com.br,(75) 2102-2666,Fábricas e Indústrias,Fabricação de embalagens de material plástico,25/07/2012,Demais,Não optante,Sociedade Empresária Limitada,"R$ 250000,00",611
78.416.294/0001-24,Associacao Paranaense do Diabetico Juvenil,,Av Iguacu,4263,Terreo,Vl Izabel,Curitiba,PR,80240-031,apad@apad.org.br,(41) 3242-5418,Sem Fins Lucrativos,Atividades de associações de defesa de direitos sociais,23/05/1984,Demais,Não optante,Associação Privada,,
57.653.347/0001-50,Gerez Comercio de Persianas e Art Para Decoracao Ltda,,R Goncalo Pires,187,,Vila Morse,São Paulo,SP,05624-040,gerez@gerez.com.br,(11) 3772-2169,Varejo,Comércio varejista de outros produtos ,17/06/1987,Micro empresa,Optante,Sociedade Empresária Limitada,,
21.429.300/0001-60,Ph7 Construcoes e Empreendimentos Imobiliarios Ltda,Ph7 Construcoes,Governador Joao Durval Carneiro,3665,Sala 101 Edif Multiplace Boulevard,Caseb,Feira de Santana,BA,44052-064,heron@marinhoempreendimentos.com.br,(75) 98814-4444,Construção Civil,Administração de obras,18/11/2014,Demais,Não optante,Sociedade Empresária Limitada,"R$ 100000,00",
29.971.512/0001-87,Eletromatrix Industria Galvanica Ltda,,R Americo da Rocha,1520,,Honorio Gurgel,Rio de Janeiro,RJ,21555-300,contato@eletromatrix.com.br,(21) 3350-9205,Serviços Empresariais,"Serviços de usinagem, tornearia e solda",15/05/1978,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 105000,00",19
31.895.139/0001-74,Cedro Engenharia Ltda,Cedrocon,Av Alberto Braune,99,Sala 101,Centro,Nova Friburgo,RJ,28613-001,contato@cedroengenharia.com.br,(22) 2522-2842,Construção Civil,Outras obras de acabamento da construção,12/02/1988,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 40000,00",2
00.903.843/0001-06,Kolibri Tecnologia da Informacao Ltda,,R Pedro Ernesto,240,Apt 253,Vila Sanches,São José dos Campos,SP,12245-520,contato@eutroco.net.br,(11) 93800-3775,Educação,Treinamento em desenvolvimento profissional e gerencial,01/11/1995,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 5000,00",
18.296.243/0001-84,M. Aparecido de Araujo,Ocanga Especialistas em Patologias de Edif.e Estruturas,Nothmann,605,Apt 62,Campos Eliseos,São Paulo,SP,01216-000,marcio@ocanga.com.br,(11) 2742-2497,Engenharia,Serviços de engenharia,13/06/2013,Micro empresa,Optante,Empresário Individual,"R$ 2000,00",
24.976.311/0001-59,Mdb Alimentos Ltda,Mercadinho do Bem,Casa do Ator,978,,Vila Olimpia,São Paulo,SP,04546-003,contato@mercadinhodobem.com.br,(11) 2389-8940,Supermercados,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",07/06/2016,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
96.387.865/0001-21,Diplomat Bebedouros Industria Comercio e Refrigeracao Ltda,Diplomat Bebedouros,R Silverstone,101,,Pq Nova Jandira,Jandira,SP,06634-000,atendimento@diplomatbebedouros.com.br,(11) 4618-2502,Fábricas e Indústrias,"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios",17/03/1993,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
23.288.815/0001-13,Carimbando Viagens e Transportes Eireli,Carimbando Viagens e Transportes Ltda,Bernardo Reiter,1845,Apt A13,Passo Manso,Blumenau,SC,89046-305,contato@carimbandoviagens.com.br,(47) 3209-3341,Transporte e Logística,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal",16/09/2015,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 165000,00",
82.090.507/0001-48,Planej Corretora de Seguros Ltda,,R Uruguay,350,Casa,Ponta. Aguda,Blumenau,SC,89050-060,planej@planej.com.br,(47) 3144-5858,Serviços Financeiros,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",22/06/1990,Demais,Optante,Sociedade Empresária Limitada,"R$ 4000,00",
07.819.128/0001-20,Grand Corp Tecnologia Ltda,Grand Corp,Av Eliseu de Almeida,688,Bloco 2,Instituto de Previdencia,São Paulo,SP,05533-000,nfe@grandcorp.com.br,,Fábricas e Indústrias,Fabricação de equipamentos de informática,13/01/2006,Demais,Não optante,Sociedade Empresária Limitada,"R$ 200000,00",
04.509.822/0001-53,Paradiso - Comunicacao Visual Ltda,,Al dos Arapanes,881,Conjunto 21,Indianopolis,São Paulo,SP,04524-001,estudioparadiso@estudioparadiso.com.br,,Mídia e Entretenimento,"Serviços de acabamentos gráficos, exceto encadernação e plastificação",04/06/2001,Empresa de pequeno porte,Optante,Sociedade Simples Limitada,"R$ 1300,00",
01.599.981/0001-06,Gramarco Granitos e Marmores Sao Marcos Ltda,Gramarco,Rod Br 116,1880,Km 116,Polo,São Marcos,RS,95190-000,gramarco@gramarco.com.br,(54) 3291-2862,Materiais de Construção,Fabricação de produtos cerâmicos não-refratários ,20/12/1996,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 439500,00",
03.925.805/0001-34,Rekar Industria e Comercio de Estruturas Metalicas Ltda,Recar Ii,R Jorge Beretta,255,267,Parque Erasmo Assuncao,Santo André,SP,09271-400,contato@rekar.com.br,(11) 4472-8796,Metalúrgica e Mecânica,Fabricação de estruturas metálicas,12/07/2000,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 40000,00",
62.255.682/0001-30,Ppe Fios Esmaltados S.a,,Av Primeiro de Maio,1835,,Estiva,Cerquilho,SP,18520-000,lilian.geiser@ppefios.com.br,(15) 3384-9018,Energia,"Fabricação de fios, cabos e condutores elétricos isolados",14/08/1972,Demais,Não optante,Sociedade Anônima Fechada,"R$ 116307145,00",25 - 100
14.160.726/0001-04,Lunar Importacao e Exportacao Ltda,Lunar Import e Export,Mario Claudio Turra,291,Sala 03,Centro,Dionisio Cerqueira,SC,89950-000,lunar@lunarimport.com,(49) 3644-2769,Atacado e Distribuição,Comércio atacadista de produtos alimentícios em geral,16/08/2011,Demais,Não optante,Sociedade Empresária Limitada,"R$ 200000,00",
53.631.925/0001-05,Af Industria e Comercio de Auto Pecas Ltda,,R Clarindo Barbosa Pinho,85,,Jd Novo Horizonte,Limeira,SP,13487-298,financeiro@aflanternas.com.br,(19) 3442-3936,Veículos e Auto Peças,"Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias",19/07/1984,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 44400,00",
34.760.122/0001-06,Supermercado Andrade & Vasconcelos Ltda,Supermercado Vasconcelos,Filadelfo Doria,762,,Novo Horizonte,Lagarto,SE,49400-000,marcus.andrade@sepromotora.com.br,(79) 99966-9898,Supermercados,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",04/09/2019,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 150000,00",
11.820.232/0001-02,Is3 Gestao e Tecnologia Ltda,Is3 Gestao e Tecnologia,R Victorino Cardoso,220,Sala 04,Jardim Camburi,Vitória,ES,29090-820,comercial@is3.com.br,(27) 3062-3090,Eletro-eletrônica,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",05/04/2010,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 3000,00",
96.493.671/0001-00,Oxford Educacao Basica Sociedade Simples Ltda,Colegio Absoluto,Av Israel,13,,Vila Bela,Franco da Rocha,SP,07847-200,joseroberto@absolutocolegio.com.br,(11) 4449-3809,Educação,Educação infantil - pré-escola,07/06/1994,Empresa de pequeno porte,Optante,Sociedade Simples Limitada,"R$ 420000,00",
04.659.032/0001-54,Laboratorio de Linguas Ltda,Lab Idiomas,Pc Santo Antonio,117,,Centro,Sete Lagoas,MG,35700-033,contato@laboratoriodelinguas.com.br,(31) 3771-0577,Educação,Ensino de idiomas,05/09/2001,Micro empresa,Optante,Sociedade Simples Limitada,"R$ 2000,00",
04.980.167/0001-17,Glassmaxi Industria de Vidros Ba Ltda,Glassmaxi,R da Nigeria,S/N,Lote Granjas Rurais Presidente Vargas,Piraja,Salvador,BA,41230-090,rh@glassmaxi.com.br,(71) 3444-3566,Fábricas e Indústrias,Fabricação de vidro plano e de segurança,19/10/2001,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,,20
11.157.582/0001-30,Ndx Net Servicos de Informatica Ltda,Ndx Net,Av das Americas,7935,Sala 411,Barra da Tijuca,Rio de Janeiro,RJ,22793-081,sac@ndxnet.com.br,(21) 2421-3466,Telecomunicações,Provedores de acesso às redes de comunicações,11/09/2009,Demais,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
01.942.062/0001-85,Soma Diesel Veiculos Ltda,,Raposo Tavares,Sn,Km 107,Parque Reserva Fazenda Imperial,Sorocaba,SP,18052-775,contabil@safveiculos.com.br,(15) 2102-7000,Varejo,"Comércio a varejo de automóveis, camionetas e utilitários novos",02/07/1997,Demais,Não optante,Sociedade Empresária Limitada,"R$ 6372000,00",
96.245.956/0001-22,Imacke Comercio e Representacoes Ltda,Floricultura Flor Purpura,Afonso Camargo,36,Fundos,Vila Nillo,São Paulo,SP,02279-120,imacke@zloti.com.br,(11) 3022-2350,Varejo,Comercio varejista de artigos de armarinho,16/02/1993,Micro empresa,Optante,Sociedade Empresária Limitada,,
10.675.495/0001-02,Evolution Agente Autonomo de Investimentos Sociedade Simples Ltda,,R Guapuruvu,377,Sala 6 e 7,Alphaville,Campinas,SP,13098-322,contato@drts.com.br,,Serviços Financeiros,Agentes de investimentos em aplicações financeiras,13/02/2009,Micro empresa,Não optante,Sociedade Simples Limitada,"R$ 68000,00",
30.497.947/0001-10,Pastori Tecnologia Servicos e Consultoria Ltda,Cristian Cleverson de Souza Pastori,Seis,154,Cond Imola Apt 32,Parque Residencial das Nacoes Indigenas,Cuiaba,MT,78056-851,glauce.pastori@bomfuturo.com.br,(65) 3645-8000,Eletro-eletrônica,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",18/05/2018,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 100000,00",
15.096.251/0001-99,Transporte Teixeira - Eireli,Rodoviario Teixeira,Norte Miguel Arraes de Alencar,6674,,Vasco da Gama,Recife,PE,52081-000,clovisjr@rodoteixeira.com.br,(81) 3268-1699,Transporte e Logística,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",15/02/2012,Demais,Excluído,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 300000,00",
17.637.377/0001-59,Analytical Science Analises e Consultoria Ltda,Analytical Science,R Sao Matias,675,,Conjunto Habitacional Padre Anchieta,Campinas,SP,13068-545,contato@analyticalscience.com.br,(19) 3012-0579,Serviços Empresariais,Testes e análises técnicas,23/01/2013,Demais,Não optante,Sociedade Empresária Limitada,"R$ 60000,00",
43.480.573/0001-72,Phoenix Comercial Eletrica Eireli,,R Anhaia,766,,Bom Retiro,São Paulo,SP,01130-000,phoenix@phoenixel.com.br,(11) 3224-0853,Varejo,Comércio varejista de material elétrico,12/10/1972,Demais,Não optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 300000,00",
06.143.681/0001-23,Biosani Industria e Comercio de Produtos Medicos e Odontologicos Ltda,,Av Thereza de Souza,1327,,Distrito Industrial,Arapoti,PR,84990-000,comercial@biosani.net.br,(43) 3557-4814,Medicina e Saúde,Fabricação de materiais para medicina e odontologia,15/01/2004,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 630000,00",200
21.537.929/0001-24,Lbor Borrachas Poliuretano e Silicone Comercio Ltda,,Av Paula Ferreira,3252,,Pirituba,São Paulo,SP,02916-000,financeiro@7bor.com.br,,Decoração,Comércio varejista de outros artigos de uso pessoal e doméstico ,09/12/2014,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 10000,00",
57.858.854/0001-20,Escola Pro-tec e Comercio Ltda,Escola Pro-tec,R Conde de Sao Joaquim,178,190,Liberdade,São Paulo,SP,01320-000,secretaria@escolaprotec.com.br,(11) 3105-1168,Educação,Educação profissional de nível técnico,29/07/1987,Demais,Não optante,Sociedade Empresária Limitada,"R$ 150000,00",
53.912.804/0001-23,Softask Informatica Ltda,,Av Jose Giorgi,1801,,Granja Viana Ii,Cotia,SP,06707-100,odilon@softask.com.br,(11) 4612-9799,Eletro-eletrônica,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",30/10/1984,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
21.891.837/0001-48,Sanville Restaurante Ltda - Epp,Sanville Grill,R Alberto Cintra,214,Loja 01 e 02,Uniao,Belo Horizonte,MG,31160-370,reservas@sanvillegrill.com.br,,Varejo,Restaurantes e similares,19/02/2015,Empresa de pequeno porte,Excluído,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 95400,00",
06.914.376/0001-98,Instituto Anaue-teino - Arte e Ciencia em Desenvolvimento Humano Ltda,Anaue-teino,R Fernandes Carlos Beetz,67,Planta Granjas Eldor,Aguas Claras,Piraquara,PR,83309-000,contato@anaueteino.com.br,(42) 3532-1951,Educação,Treinamento em desenvolvimento profissional e gerencial,20/07/2004,Micro empresa,Optante,Sociedade Empresária Limitada,,
01.865.549/0001-01,Portela Comercio de Vidros Ltda,Amazonas Vidros,Jose Barriga,106,,Centro B,Rondonopolis,MT,78700-400,financeiro@amazonasvidros.com.br,(66) 3421-5090,Materiais de Construção,Comércio varejista de vidros,28/05/1997,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 60000,00",
15.428.765/0001-02,Solwe Empreendimentos e Participacoes Ltda,,Av Tancredo Neves,2227,Edif: Salvador Prime Sala ; : 416;,Caminho das Arvores,Salvador,BA,41820-020,contratos@renaforte.com.br,(71) 3415-4205,Imobiliárias,Compra e venda de imóveis próprios,25/04/2012,Demais,Não optante,Sociedade Empresária Limitada,"R$ 14513058,00",
47.577.531/0001-05,Nobelplast Embalagens Eireli,Nobelplast,R Marco Giannini,437,,Vila Jaguare,São Paulo,SP,05550-000,nobelpack@nobelpack.com.br,(11) 3782-5066,Fábricas e Indústrias,Fabricação de embalagens de material plástico,13/11/1981,Demais,Não optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 1000000,00",201-500
75.444.430/0001-00,Dacalda Acucar e Alcool Ltda,Dacalda,Faz Santa Maria,S N,,Dourado,Jacarézinho,PR,86400-000,recrutamento@dacalda.com.br,(43) 3511-1300,Fábricas e Indústrias,Fabricação de álcool,20/11/1973,Demais,Não optante,Sociedade Empresária Limitada,"R$ 42582996,00",450
05.734.740/0001-75,Mega Power Energia Ininterrupta e Tele-informatica Ltda,Mega Power,R do Piano,589,-,Guanandi Ii,Campo Grande,MS,79081-580,megapower@megapowerms.com.br,(66) 3532-2857,Varejo,Comércio varejista especializado de equipamentos e suprimentos de informática,25/06/2003,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 600000,00",
05.802.131/0001-06,Consultar - Consultoria e Treinamento Ltda,,R Romualdo Lopes Cancado,542,Sala 01,Castelo,Belo Horizonte,MG,30840-460,consultar@consultarconsult.com.br,,Serviços Empresariais,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",23/07/2003,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 2000,00",
13.144.564/0001-40,Docstorage Guarda de Documentos Ltda,Docstorage,Francisco Ceara Barbosa,816,,Chacaras Campos dos Amarais,Campinas,SP,13082-030,waldir@docstorage.com.br,(19) 3296-3034,Transporte e Logística,Guarda-móveis,05/01/2011,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 5000,00",
23.500.165/0001-28,Haka Solucoes Financeiras Ltda.,Haka Solucoes Financeiras,Domingos de Morais,1061,Conj 114 Sala 1,Vila Mariana,São Paulo,SP,04009-002,henrique@hakafidc.com.br,(11) 5571-4218,Economia e Finanças,Sociedades de fomento mercantil - factoring,20/10/2015,Demais,Não optante,Sociedade Empresária Limitada,"R$ 159000,00",
02.222.238/0001-97,Pbc Feiras e Eventos Ltda,,Est Vovo Carolina,2311,,Iguatemi,São Paulo,SP,08485-580,pbceventos@pbceventos.com.br,(11) 2734-8851,Serviços Empresariais,"Serviços de organização de feiras, congressos, exposições e festas",30/06/1997,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 150000,00",
33.190.735/0001-84,Casa Locomotiva Producoes Ltda,,Girassol,973,,Vila Madalena,São Paulo,SP,05433-002,shun.izumi@casalocomotiva.com.br,(11) 3819-3648,Mídia e Entretenimento,Serviços de pré-impressão,29/03/2019,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 3000,00",
12.314.662/0001-15,Camara de Dirigentes Logistas de Maceio,,R Zacarias de Azevedo,31,,Centro,Maceió,AL,57020-470,secretaria@cdlmaceio.com.br,(82) 3311-3900,Sem Fins Lucrativos,Atividades de organizações associativas patronais e empresariais,23/04/1970,Demais,Não optante,Associação Privada,,
07.073.035/0001-08,Plegge & Gelatti Ltda,Plegge Organizacoes Contabeis,R Goncalves Dias,250,,Fatima,Panambí,RS,98280-000,direcao@escritorioplegge.com.br,(55) 3375-6023,Serviços Empresariais,Atividades de contabilidade,04/11/2004,Micro empresa,Optante,Sociedade Empresária Limitada,,
49.360.803/0001-46,Igreja Batista no Parque America,,Est do Jequirituba,2030,,Parque America,São Paulo,SP,04822-000,contato@mibpa.com.br,(11) 5662-4260,Instituições Religiosas,Atividades de organizações religiosas ou filosóficas,12/09/1977,Demais,Não optante,Associação Privada,,
02.576.672/0001-75,Jensen Administradora e Corretora de Seguros Eireli,,R Xv de Novembro,1234,11 Andar Conj 1102,Centro,Curitiba,PR,80060-000,tiago@jensen.com.br,(41) 3362-2100,Serviços Financeiros,"Corretores e agentes de seguros, de planos de previdência complementar e de saúde",05/06/1998,Empresa de pequeno porte,Não optante,Empresa Individual de Responsabilidade Limitada (de Natureza Simples),"R$ 100000,00",
21.322.273/0001-22,Gamb Fabricacao Digital Ltda,Brasilia Fab Lab,Scrn 710/711 Bloco D,S/n,Loja 23,Asa Norte,Brasília,DF,70750-640,contato@brasiliafablab.com.br,(61) 3034-7073,Serviços Empresariais,Aluguel de máquinas e equipamentos para escritório,29/10/2014,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
00.827.078/0001-84,Piatto Doro Comercio e Servicos de Refeicoes Ltda,Piatto Doro,R Albino de Morais,209,,Vila Carioca,São Paulo,SP,04223-120,diretoria@piattodororc.com.br,(11) 2983-0963,Alimentos e Bebidas,Fornecimento de alimentos preparados preponderantemente para empresas,18/09/1995,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 95500,00",
10.228.861/0001-85,Advanced Fisio - Clinica de Fisioterapia Sociedade Simples Ltda.,Advanced Fisio - Clinica de Fisioterapia,R Dom Amaral Mousinho,70,A,Jardim das Laranjeiras - Casa Verde,São Paulo,SP,02517-140,contato@advancedfisio.com.br,(11) 2338-5579,Medicina e Saúde,Atividades de fisioterapia,14/07/2008,Micro empresa,Excluído,Sociedade Simples Limitada,"R$ 9000,00",
03.785.357/0001-10,Ideia Dois Servicos Especializados em Editoracao Ltda,Ideia Dois Design,R Leais Paulistanos,394,Conj. 504,Ipiranga,São Paulo,SP,04202-010,andrea@ideiadois.com.br,,Serviços Empresariais,Outras atividades de serviços prestados principalmente às empresas ,27/04/2000,Micro empresa,Optante,Sociedade Simples Limitada,,
23.811.040/0001-19,Tche Participacoes Ltda,,Brasilia,1301,Sala 3,Formosinha,Formosa,GO,73813-010,elisandro@tcheagricola.com.br,(61) 3642-3090,Serviços Financeiros,Holdings de instituições não financeiras,08/12/2015,Demais,Não optante,Sociedade Empresária Limitada,"R$ 833962,00",
05.255.210/0001-44,Informal Movelaria Planejada Ltda,Informal Movelaria Planejada,R Antonio Bortolan,46,,Bortolan,Poços de Caldas,MG,37704-397,vendas@informalmovelaria.com.br,(35) 3714-3546,Fábricas e Indústrias,Fabricação de móveis com predominância de madeira,20/08/2002,Micro empresa,Optante,Sociedade Empresária Limitada,,30
04.968.578/0001-97,Plasmont Industria e Comercio de Plasticos Ltda.,,Est Municipal Olival Pires,500,Caixa Postal 91,Distrito Industrial,Pedreira,SP,13920-000,cida@plasmont.ind.br,(19) 3893-1788,Decoração,Fabricação de artefatos de material plástico para uso pessoal e doméstico,18/03/2002,Demais,Não optante,Sociedade Empresária Limitada,"R$ 620000,00",
13.133.688/0001-20,Vime Fabrica e Comercio de Moveis Ltda,Vime e Cia Moveis,do Cerne Pr 090,15247,,Jardim Viviane,Campo Magro,PR,83535-000,contato@vimeciamoveis.com.br,(41) 3677-1776,Fábricas e Indústrias,"Fabricação de móveis de outros materiais, exceto madeira e metal",12/01/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
06.267.018/0001-30,Hollus Servicos Tecnicos Especializados Ltda,Hollus,118,288,Quadra: F-37; Lote: 36; Sala: 01;,Setor Sul,Goiania,GO,74085-400,lsouza@holluseng.com.br,(62) 3997-8719,Engenharia,Serviços de engenharia,17/05/2004,Demais,Não optante,Sociedade Empresária Limitada,"R$ 13000000,00",
08.017.266/0001-59,Moveispratic Industrial e Comercial Ltda,,R Valmor Schroeder,2330,,Bela Vista I,São José,SC,88110-120,financeiro@suamarcenaria.ind.br,(48) 3034-5926,Fábricas e Indústrias,Fabricação de artigos de vidro,02/03/2006,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 20000,00",
09.332.928/0001-48,Activities - Assessoria e Planejamento em Informatica Ltda,Activities,Av Carlos de Souza Gomes Borges,700,Loja 02,Frade,Angra dos Reis,RJ,23946-150,faleconosco@estacaodomicro.com.br,(24) 2404-9965,Eletro-eletrônica,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",03/01/2008,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 6000,00",
05.148.774/0001-88,World Virtual Eireli,World Virtual,Teixeira Mendes,518,,Centro,Bacabal,MA,65700-000,fjunior.chaves@worldvirtual.com.br,(99) 98132-6340,Serviços Empresariais,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",15/07/2002,Micro empresa,Excluído,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
07.534.133/0001-97,Lisandro Ramos Buss & Cia Ltda,,Av Pedro Cezar Saccol,1001,Eixo Secundario Seis,Distrito Industrial,Santa Maria,RS,97030-440,vendas@serluz.com.br,(55) 3026-5582,Fábricas e Indústrias,Fabricação de esquadrias de metal,27/07/2005,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 10000,00",49
31.246.227/0001-45,Gdr Servicos de Automacao Ltda,,Osiris Magalhaes de Almeida,101,Sala 3,Jardim Monte Kemel,São Paulo,SP,05634-020,emerson@gdrautomacao.com.br,(11) 3743-8206,Varejo,Comércio varejista especializado de equipamentos e suprimentos de informática,16/08/2018,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 5000,00",
07.066.433/0001-99,Dimensao - Consultoria e Assessoria Contabil Ltda,,R Lopes Ferraz,257,Apto. 201,Sao Cristovao,Rio de Janeiro,RJ,20940-260,afeitosa@dimensconsult.com.br,(21) 2580-8967,Serviços Empresariais,Atividades de contabilidade,27/10/2004,Micro empresa,Optante,Sociedade Simples Limitada,"R$ 4500,00",
00.769.476/0001-91,Segvida Consultoria Especializada em Seguranca do Trabalho e Meio Ambiente Ltda,,R Anselmo Vasconcelos,22,Loja 01 e 02,Guarapiranga,Ponte Nova,MG,35430-207,comercial@segvidamg.com.br,(31) 3817-4149,Educação,Treinamento em desenvolvimento profissional e gerencial,22/08/1995,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,,
33.167.227/0001-85,"Elias, Fabio Consultoria Eireli",Fabio Consultoria Eireli,Taciba,499,,Vila Babilonia,São Paulo,SP,04350-000,fabio@somaepromo.com.br,(11) 5041-5340,Serviços Empresariais,Serviços combinados de escritório e apoio administrativo,27/03/2019,Demais,Não optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
24.013.550/0001-03,Seguimentos Pretinho Tudo em Gesso e Construcoes A Seco Ltda,,Brasil,212,,Novo Mundo,Claudio,MG,35530-000,segmentosgesso@megasimples.com.br,(37) 3381-2866,Decoração,Obras de acabamento em gesso e estuque,20/01/2016,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 100000,00",
