CNPJ,razon_social,Nome comercial,Endereço,Número,Complemento,Bairro,Cidade,Estado,Cep,correo_comercial,Telefone,Segmento,Área de atuação,Data de abertura,Porte da empresa,Optante simples nacional,Natureza jurídica,Capital social,Número de funcionários
02.848.910/0001-54,Jm - Sistemas e Computadores Ltda,Jm - Sistemas. Com,R Monte Cassino,181,Quadra 10 Lote 25 Casa 01 Sala 02,Jardim Planalto,Goiânia,GO,74333-190,rh@jmsistemas.com.br,(62) 3093-7100,Informática,Desenvolvimento de programas de computador sob encomenda,12/11/1998,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 10000,00",
07.674.023/0001-20,Magnacam Servicos de Desenhos Tecnicos & Design Industrial Ltda.,Magnacam,3 Jport,234,,Jardim Portugal,Rio Claro,SP,13504-071,wiliam@magnacam.com.br,(19) 99228-5505,Engenharia,Serviços de desenho técnico relacionados à arquitetura e engenharia,26/10/2005,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 3000,00",
05.086.015/0001-38,Estudio F2 Desenhos Ltda,O do Borogodo,Frei Felicissimo Maria de Prada,140,,Higienopolis,Aracatuba,SP,16010-650,contato@estudiof2.com.br,(19) 3291-1334,Informática,Desenvolvimento de programas de computador sob encomenda,29/05/2002,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 2000,00",
06.696.007/0001-76,Neteye Informatica Ltda,Neteye,Av Unisinos,950,Edif Pe. Rick Sala 209,Cristo Rei,São Leopoldo,RS,93022-750,suporte@neteye.com.br,(51) 3590-8632,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,12/07/2004,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 50000,00",
37.585.941/0001-44,Fnz Comercio e Servicos de Sistema de Informatica Ltda,,Jacipuia,233,,Guaruja,Porto Alegre,RS,91770-030,jlfurjan@fnzsistemas.com.br,(51) 99963-1369,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,01/07/2020,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 10000,00",
66.539.453/0001-07,Objetiva Sistemas e Comercio Ltda,,R Dr Jose Guilherme Eiras,794,,Sao Miguel Paulista,São Paulo,SP,08010-220,contato@objetivasistemas.com.br,(11) 2956-7797,Informática,Desenvolvimento de programas de computador sob encomenda,05/07/1991,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,,
11.016.494/0001-19,Jmls Sistemas Ltda,Imovi Tecnologia Imobiliaria,R Jose Lourenco Kelmer S/n,SN,Setor: Critt Ufjf;,Sao Pedro,Juíz de Fora,MG,36036-900,contato@imovi.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,29/07/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 48000,00",
08.075.331/0001-00,Art Guth Propaganda & Internet Ltda,Art Guth,Independencia,286,,Centro,Nova Odessa,SP,13380-001,falecom@artguth.com,(19) 3466-3737,Informática,Desenvolvimento de programas de computador sob encomenda,25/05/2006,Micro empresa,Excluído,Sociedade Simples Limitada,"R$ 5000,00",
21.861.204/0001-97,G G M Negrao Desenvolvimento de Sistemas Eireli,Versatil Tecnologia da Informacao,Bolonha (cj Tapajos),2,Box: 02;,Tapana (icoaraci),Belem,PA,66833-530,gilsonnegrao@sigaversatil.com.br,(91) 98347-6063,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,11/02/2015,Empresa de pequeno porte,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 78800,00",
07.224.529/0001-38,Signativa Design & Tecnologia em Internet Ltda,,R Dois de Setembro,2113,Sala 202a,Itoupava Norte,Blumenau,SC,89052-002,mickaleski@signativa.com.br,(11) 4873-2166,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,18/02/2005,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 78800,00",11-50
07.831.467/0001-22,Tec Soft Informatica e Servicos Ltda,Tec Soft Informatica,Amintas Barros,4180,,Lagoa Nova,Natal,RN,59075-250,tecsoft@tecsoft.info,(84) 3204-4700,Informática,Desenvolvimento de programas de computador sob encomenda,03/02/2006,Micro empresa,Excluído,Sociedade Empresária Limitada,"R$ 5000,00",
86.757.481/0001-08,Aporte Gestao Empresarial e Tecnologia da Informacao Ltda,,R Ministro Calogeras,343,11 Andar,Bucarein,Joinville,SC,89202-207,aporte@aporte.com,(47) 3121-7500,Informática,Desenvolvimento de programas de computador sob encomenda,23/02/1994,Demais,Não optante,Sociedade Empresária Limitada,"R$ 4975000,00",201-500
01.038.565/0001-20,Nord Software Ltda,,R Vinte e Tres de Maio,219,Sala 1a,Vila Vianelo,Jundiaí,SP,13207-070,contato@nordsoftware.com.br,(11) 4805-4248,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,31/01/1996,Demais,Não optante,Sociedade Empresária Limitada,"R$ 2000,00",
20.674.813/0001-74,Bexser Ltda,Bexser Corporation,Coronel Neves,747,,Medianeira,Porto Alegre,RS,90870-280,aqdavila@bexser.com,(51) 98937-1616,Informática,Desenvolvimento de programas de computador sob encomenda,01/07/2014,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
11.681.858/0001-85,Sou Arquitetura e Design Ltda,,R Episcopal,2262,Ap 71,Centro,São Carlos,SP,13560-049,contato@soustudio.com.br,(16) 3201-0810,Serviços Empresariais,Serviços de desenho técnico relacionados à arquitetura e engenharia,09/03/2010,Demais,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
09.062.773/0001-77,Mrc Solucoes em Ti e Desenvolvimento de Programas Ltda,Margi Sistemas,Av Getulio Vargas,468,Sala 01 - 1 Andar,Centro,Estância,SE,49200-000,margi@margi.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,04/09/2007,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 3000,00",
22.288.857/0001-91,Rl Servicos Tecnologicos Ltda,Healthgo Technologies,Macauba Lote,16,Sala 101,Sul (aguas Claras),Brasília,DF,71928-180,raphael.matsunaga@healthgotech.com,(61) 99229-0634,Informática,Desenvolvimento de programas de computador sob encomenda,16/04/2015,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 100000,00",
09.029.337/0001-04,Sunnysky Network Sistemas de Informatica Ltda - Eireli,,Av Parada Pinto,894,Sala 03,Vila Nova Cachoeirinha,São Paulo,SP,02611-002,comercial@sunnysky.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,22/06/2007,Demais,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 88000,00",
10.939.803/0001-60,Xplanning Tecnologia e Servicos Ltda,Xp Tecnologia,Presidente Wilson,00231,Sal 1402,Centro,Rio de Janeiro,RJ,20030-905,wellington.tonietto@xplanning.com.br,(21) 3298-9203,Informática,Desenvolvimento de programas de computador sob encomenda,06/07/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 200000,00",
35.635.673/0001-00,Evox Store - Tecnologia em Solucoes Ltda,,Pres Juscelino Kubitschek,2041,Andar 5 Torre B,Vila Nova Conceicao,São Paulo,SP,04543-011,finance@evox.co,(11) 2844-8583,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,27/11/2019,Demais,Não optante,Sociedade Empresária Limitada,"R$ 10000,00",
28.708.177/0001-66,Smart Corner Tecnologia e Publicidade Ltda,Smart Corner,Mearim,00223,Apt 402,Grajau,Rio de Janeiro,RJ,20561-070,gabriel@smartcorner.com.br,(21) 99752-5222,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,21/09/2017,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1000,00",
58.375.643/0001-08,Simula Sistemas de Planejamento Ltda,Simula,Av Cambacica,520,Conj 701,Parque dos Resedas,Campinas,SP,13097-160,simula@simula.com.br,(19) 3253-1533,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,12/05/1988,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,,
08.736.352/0001-11,Caprice Solucoes Tecnologicas Ltda,Caprice55,Jeronimo Coelho,383,Sala 505,Centro,Florianopolis,SC,88010-030,joao.mota@caprice55.com,(48) 3222-5678,Informática,Desenvolvimento de programas de computador sob encomenda,02/04/2007,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 60000,00",
32.906.241/0001-90,Smartantecipa - Tecnologia e Intermediacao da Informacao Ltda,Smartantecipa,das Margaridas,163,Sala 2,Condominio Centro Comercial Alphaville,Barueri,SP,06453-038,gilberto.ramos@smartantecipa.com.br,(11) 4166-6000,Informática,Desenvolvimento de programas de computador sob encomenda,27/02/2019,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 50000,00",
05.293.977/0001-68,Meta Systems Ltda,,Purpurina,131,Conj 106 Sala 2 Edif West Tower Iii,Sumarezinho,São Paulo,SP,05435-030,sheldon.dyck@metasystems.com.br,(11) 98572-7896,Informática,Desenvolvimento de programas de computador sob encomenda,29/08/2002,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 1000,00",
05.531.873/0001-44,Code Plus Informatica Ltda,,R Bom Pastor,2224,Conj 1209,Ipiranga,São Paulo,SP,04203-002,jmarcos@codeplus.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,14/02/2003,Demais,Não optante,Sociedade Empresária Limitada,"R$ 600,00",
20.339.609/0001-05,Nama S.a.,Nama,Desembargador Eliseu Guilherme,69,Andar 11 Conj 211 e 212,Paraiso,São Paulo,SP,04004-030,hi@nama.ai,(11) 3542-6405,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,28/05/2014,Demais,Excluído,Sociedade Anônima Fechada,"R$ 3743290,00",
04.979.541/0001-64,Mundo do Saber - Tecnologia da Informacao e Comunicacao Eireli,Mundo do Saber,R Antonio Paioli,320,,Parque das Universidades,Campinas,SP,13086-045,contato@mundodosaber.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,18/03/2002,Demais,Não optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
04.426.565/0001-96,T-systems do Brasil Ltda.,,R Olimpiadas,205,3 Andar,Vila Olimpia,São Paulo,SP,04551-000,education@rfid-coe.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,03/12/1975,Demais,Não optante,Sociedade Empresária Limitada,"R$ 15000000,00",
22.380.321/0001-00,Coffee Addict Studio Desenvolvimento de Programas de Computador Ltda,Coffee Addict Studio,Getulio Vargas,227,Sala 17,Centro,Ararangua,SC,88900-037,contact@coffeeaddictstudio.com,(48) 99949-0995,Informática,Desenvolvimento de programas de computador sob encomenda,05/05/2015,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 12000,00",
22.312.662/0001-30,Inbrateve - Instituto Brasileiro de Tecnologia Veicular Ltda,Inbrateve,Av T 63,SN,Quadra: 347; Lote: 10 E;,Jardim America,Goiânia,GO,74250-320,comercial1@inbrateve.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,23/04/2015,Demais,Excluído,Sociedade Empresária Limitada,"R$ 8000000,00",
07.397.562/0001-60,Mf Informatica Ltda,,R Coronel Madureira,40,Loja 09 - Parte,Centro,Saquarema,RJ,28990-000,contato@entersistemas.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,05/05/2005,Micro empresa,Não optante,Sociedade Simples Limitada,,
18.911.037/0001-37,Dressbe Solucoes em Internet Ltda,,R Padre Anchieta,1150,,Bigorrilho,Curitiba,PR,80730-000,alcides@noxcapital.com.br,(41) 3015-3797,Informática,Desenvolvimento de programas de computador sob encomenda,02/09/2013,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 72400,00",
36.588.299/0001-94,Marcelo Mr Servicos de Informatica Ltda,,Jureia,916,Apt 84,Chacara Inglesa,São Paulo,SP,04140-110,marcelo.marinho@ciaathletica.com.br,(11) 98722-2256,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,06/03/2020,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 1000,00",
01.993.300/0001-81,Iviz Software Ltda,,R Dom Cabral,148,Apt: 301;,Ipiranga,Belo Horizonte,MG,31160-150,iviz@iviz.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,07/07/1997,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 3700,00",
10.374.342/0001-25,Tscard Tecnologia em Informatica Eireli,,Dom Jose Pereira Alves,340,,Cordeiro,Recife,PE,50721-020,paulo@tscard.com.br,(81) 98818-8844,Informática,Desenvolvimento de programas de computador sob encomenda,26/09/2008,Micro empresa,Optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 100000,00",
84.847.144/0001-78,Mastertech Tecnologia e Gestao Empresarial Ltda,,R Tenente Coronel Joao Antonio Ramalho,523,,Uberaba,Curitiba,PR,81530-500,paulo@mastertechsistemas.com.br,(41) 3296-4396,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,18/09/1991,Micro empresa,Não optante,Sociedade Empresária Limitada,,
86.864.246/0001-27,Barco & Pizzatto Ltda,B & P Consultoria em Informatica,Av Nilo Torres,751-W,Sala 79 Tangara Shopping,Parque Leblon,Tangará da Serra,MT,78300-000,vendas@bepinformatica.com.br,(65) 3694-3707,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,09/03/1994,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 44000,00",
33.984.299/0001-15,Fcr Tecnologia da Informacao Eireli,Tapps Ventures,Alvarenga,694,,Butanta,São Paulo,SP,05509-001,societario@tappsventures.com,(11) 2309-6854,Informática,Desenvolvimento de programas de computador sob encomenda,19/06/2019,Demais,Não optante,Empresa Individual de Responsabilidade Limitada (de Natureza Empresária),"R$ 99800,00",
05.471.060/0001-06,Asthar Informatica Ltda,,R Antonio Ache,863,Conj 03,Jardim Iraja,Ribeirâo Preto,SP,14020-600,admin@astharinformatica.com.br,(16) 3726-2626,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,15/01/2003,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,"R$ 119000,00",
12.127.337/0001-43,Connexae Tecnologia em Sistemas Ltda,,R Conde Ernesto Carneiro,114,Sala 1,Parque Jabaquara,São Paulo,SP,04359-060,wmacorin@connexae.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,11/06/2010,Demais,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
10.462.721/0001-77,Vedolin Solucoes Digitais Ltda,Vedolin,Leopoldo de Passoa Lima,140,Casa 3,Jd Santa Fe,São Paulo,SP,05271-000,rita@vedolin.com,(11) 3912-7388,Informática,Desenvolvimento de programas de computador sob encomenda,28/10/2008,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
02.893.941/0001-27,Smart Software Informatica Ltda,,Av Norte Lot Alpha Village,915,Ap 301,Coco,Fortaleza,CE,60813-670,andre@smartsoftware.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,15/12/1998,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
10.537.699/0001-87,Sw Solucoes Tecnologicas Ltda,Sw Solucoes Tecnologicas,Av Jeronimo Monteiro 1000,1000,Edif Trade Center Sala 823,Centro,Vitória,ES,29010-935,oportunidades@swg2.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,12/12/2008,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 10000,00",
11.300.699/0001-21,Softgas Sistemas Informaticos Ltda,,Jose de Souza Ferreira,153,Sala 01,Jardim Marisa,São Paulo,SP,05108-160,jorgejoel@softgas.com.br,(11) 5842-8045,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,05/11/2009,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 1000,00",
14.126.820/0001-39,Accedo Brasil - Solucoes Digitais Ltda,Accedo,Ferreira de Araujo,500,,Pinheiros,São Paulo,SP,05428-001,ricardo.bastos@accedo.com.br,(11) 3031-9198,Informática,Desenvolvimento de programas de computador sob encomenda,27/06/2011,Demais,Não optante,Sociedade Empresária Limitada,"R$ 202330,00",
85.168.839/0001-96,Cds Informatica Ltda,,R Lauro Linhares,188,Sala 01 Bloco 01,Trindade,Florianópolis,SC,88036-001,marin@cds.inf.br,,Informática,Desenvolvimento de programas de computador sob encomenda,01/10/1991,Demais,Optante,Sociedade Empresária Limitada,,
12.134.423/0001-83,Hms Comercio e Servicos de Informatica Ltda,,R Nilo,146,Conj 02,Aclimacao,São Paulo,SP,01533-010,info@bwexpo.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,17/06/2010,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",11-50
62.282.173/0001-05,Spread Tecnologia em Sistemas de Informacao Ltda,,Verbo Divino,1661,Conj 62 Andar 6 Edif Verbo Divino,Chacara Santo Antonio (zona Sul),São Paulo,SP,04719-002,raimundob@spread.com.br,(11) 3874-9513,Informática,Desenvolvimento de programas de computador sob encomenda,05/06/1990,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1561645,00",
35.502.256/0001-81,Preveni Desenvolvimento de Sistemas de Tecnologia da Informacao Ltda.,Preveni,Otavio Cesario Pereira,354,,Cafezal,Londrina,PR,86045-020,bruno@preveni.com.br,(43) 98442-2339,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,13/11/2019,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
05.690.438/0001-62,Lema Automacao e Pesquisa Ltda,,Av Almirante Cochrane,194,Conj. 85,Aparecida,Santos,SP,11040-002,hospedagem@lema.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,02/06/2003,Micro empresa,Não optante,Sociedade Empresária Limitada,,
28.640.976/0001-48,A2 Simulacoes Ltda,A2 Simulacoes,Jose da Fonseca Nadaes,302,,Jardim Sabara,São Paulo,SP,04446-125,anderson.oliveira@a2simulacoes.com.br,(11) 5126-9662,Arquitetura,Serviços de desenho técnico relacionados à arquitetura e engenharia,14/09/2017,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
04.552.803/0001-00,Jbtec Digital Signage Ltda,,R Cacapava,49,Conj 151,Jardim Paulista,São Paulo,SP,01408-010,contato@jbtec.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,04/07/2001,Demais,Não optante,Sociedade Empresária Limitada,"R$ 10000,00",11-50
26.277.192/0001-71,Siclos Pagamentos Ltda,Siclos,Fidencio Ramos,308,Andar 9 Conj 93,Vila Olimpia,São Paulo,SP,04551-010,relacionamento@siclospag.com.br,(11) 3185-5176,Informática,Desenvolvimento e licenciamento de programas de computador não customizáveis,03/10/2016,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
01.237.661/0001-06,Deluqui Rbs Informatica S/c Ltda,,R Arthur de Azevedo,1445,Cj 151,Pinheiros,São Paulo,SP,05404-000,deluqui@deluqui.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,05/06/1996,Demais,Não optante,Sociedade em Conta de Participação,,
09.447.203/0001-03,Net Cockpit Projetos e Servicos Ltda,,Hilario Magro Jr,297,,Butanta,São Paulo,SP,05505-020,alvaro@netcockpit.com.br,(11) 4321-2689,Engenharia,Serviços de desenho técnico relacionados à arquitetura e engenharia,28/02/2008,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 3000,00",
07.252.028/0001-65,Publitech Softwares Ltda,Publitech,Av Presidente Getulio Vargas,621,Sala 03,Pitanguinha,Pitanga,PR,85200-000,contato@publitechsistemas.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,03/03/2005,Demais,Não optante,Sociedade Empresária Limitada,"R$ 300000,00",
24.013.399/0001-03,Zalf Sistemas Ltda,Zalf Sistemas,Hilza Terezinha Pagani,936,Sala 02,Pagani,Palhoca,SC,88132-256,financeiro@zalf.com.br,(48) 3242-0792,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,19/01/2016,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
10.543.764/0001-87,Code It Solutions Consultoria em Desenvolvimento de Software Ltda,Code It Solutions,Av Major Sylvio de Magalhaes Padilha,5200,Bloco: D; Edif: Dallas; Conj: 31 - Parte;,Jardim Morumbi,São Paulo,SP,05693-000,contato@codeitsolutions.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,15/12/2008,Demais,Não optante,Sociedade Simples Limitada,"R$ 620000,00",
18.339.199/0001-42,Cassiopae Software Brasil Ltda.,,Jau,1754,Andar 1,Jardim Paulista,São Paulo,SP,01420-002,financeiro.br@cassiopae.com,(11) 2397-0300,Informática,Desenvolvimento de programas de computador sob encomenda,20/06/2013,Demais,Não optante,Sociedade Empresária Limitada,"R$ 22891491,00",
05.490.968/0001-67,Betasoft do Brasil Ltda,,Av General Ataliba Leonel,1205,Conj 64 Edif Manhattan Tower,Santana,São Paulo,SP,02033-000,contato@pazcientes.com.br,(11) 2649-3302,Informática,Desenvolvimento de programas de computador sob encomenda,10/01/2003,Micro empresa,Excluído,Sociedade Simples Limitada,"R$ 10000,00",
96.479.811/0001-96,Gerson Informatica S/s Ltda,,R Jose Debieux,325,Andar 3,Santana,São Paulo,SP,02038-030,suporte@gi.com.br,(11) 5525-0670,Informática,Desenvolvimento de programas de computador sob encomenda,17/02/1993,Micro empresa,Excluído,Sociedade Simples Limitada,"R$ 1000,00",
05.432.722/0001-39,Progenese Tecnologia Ltda,,R Conego Bernardo,101,Sala 101 Edif Com.meridian Office,Trindade,Florianópolis,SC,88036-570,contato@biogenetika.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,04/12/2002,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 50000,00",
10.490.172/0001-44,Dbsi - Tecnologia Ltda,,Maria de Jesus Condeixa,600,Andar: 9; Sala: 926 e 928;,Jardim Palma Travassos,Ribeirão Preto,SP,14091-240,adm@dbsi.com.br,(16) 3877-6009,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,17/11/2008,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 20000,00",
11.545.952/0001-07,Metasix Tecnologia Ltda,,Bela Cintra 1149,Sn,5 Andar Conj 51 Edif Jorge Rizkallah,Consolacao,São Paulo,SP,01415-907,cleiton.jorge@metasix.com.br,(11) 4890-2444,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,09/02/2010,Empresa de pequeno porte,Excluído,Sociedade Empresária Limitada,"R$ 500000,00",
13.418.088/0001-08,Camtwo Sistemas Ltda,Camtwo Sistemas,R Armando Marinho,396,,Frederico Ferronato,Xanxerê,SC,89820-000,naoresponder@clinicanasnuvens.com.br,,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,25/03/2011,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 10000,00",
07.273.138/0001-03,Logotec Tecnologia em Informatica Ltda,Logotec,Av Dr Carlos Rodrigues da Cruz,S/N,Cen Ad Gov A Franco,Capucho,Aracajú,SE,49080-190,adenilson@logotec.com.br,(79) 3213-0975,Informática,Desenvolvimento de programas de computador sob encomenda,22/02/2005,Micro empresa,Não optante,Sociedade Empresária Limitada,,
03.628.943/0001-51,Omnidata Networking Ltda,,R Quintana,887,Andar 10 Conj 101/102,Cidade Moncoes,São Paulo,SP,04569-011,faleconosco@omnidata.com.br,(11) 3813-8044,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,28/01/2000,Empresa de pequeno porte,Não optante,Sociedade Empresária Limitada,,
06.208.189/0001-99,Mavetec Informatica Ltda,,R Guilherme Growermann,975,,Rondonia,Novo Hamburgo,RS,93415-530,contato@mavetec.com.br,(51) 3066-0199,Informática,Desenvolvimento de programas de computador sob encomenda,20/04/2004,Micro empresa,Optante,Sociedade Empresária Limitada,,1-10
17.141.889/0001-20,Blink Servicos de Internet Ltda,,R Anfilofio de Carvalho,29,Sala 205 e 206,Centro,Rio de Janeiro,RJ,20030-901,contato@agenciacampana.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,09/11/2012,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 5000,00",
13.687.198/0001-75,Ibooking Solucoes Internet Ltda,Ibooking Reservas Inteligentes,Jose Bonifacio,61,Sala 101 103 e 105 Area A Edif Dominus I,Centro,Cabo Frio,RJ,28907-110,financeiro@ibooking.com.br,(22) 2623-2060,Informática,Desenvolvimento de programas de computador sob encomenda,20/05/2011,Empresa de pequeno porte,Optante,Sociedade Empresária Limitada,"R$ 300000,00",
27.678.144/0001-58,Fzr Engenharia e Projetos Industriais Ltda,,R Coronel Francisco Amaro,423,Sala 1,Centro,Santo André,SP,09020-250,contato@fzreng.com.br,(11) 96362-0947,Serviços Empresariais,Serviços de desenho técnico relacionados à arquitetura e engenharia,08/05/2017,Micro empresa,Não optante,Sociedade Empresária Limitada,"R$ 30000,00",
21.456.509/0001-13,Shareprime Tecnologia Ltda,,Cancio Gomes,609,,Floresta,Porto Alegre,RS,90220-060,joao.almeida@shareprime.com.br,(51) 98250-0044,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,06/11/2014,Demais,Excluído,Sociedade Empresária Limitada,"R$ 25000,00",
04.185.439/0001-97,Abi Cursos Ltda,Abi,R Taubate,753,,Utinga,Santo André,SP,09230-310,marcelo@vieiradecarvalhoimoveis.com.br,(11) 4436-0400,Informática,Desenvolvimento e licenciamento de programas de computador não-customizáveis,06/12/2000,Demais,Excluído,Sociedade Simples Limitada,,
00.347.659/0001-19,Asv Consultores Associados Ltda,,R Felipe Schmidt,172,Sala 905 e 906,Sao Luiz,Brusque,SC,88351-000,betania@asv.com.br,(47) 3351-3901,Informática,Desenvolvimento de programas de computador sob encomenda,12/12/1994,Demais,Não optante,Sociedade Empresária Limitada,"R$ 130360,00",
10.463.649/0001-00,Toledo e Magalhaes Tecnologia da Informacao Ltda,,Pc da Crianca,48,Sala: 02;,Jd Santo Antonio,Santa Rita do Sapucaí,MG,37540-000,alexandre@tmati.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,10/11/2008,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 5000,00",
40.220.964/0001-60,Peopleware Tecnologia e Servicos de Informatica Ltda,Peopleware,Av Rio Branco,37,Andar 17,Centro,Rio de Janeiro,RJ,20090-003,bancodetalentos@ppware.com.br,(21) 2217-5500,Informática,Desenvolvimento de programas de computador sob encomenda,02/05/1991,Demais,Não optante,Sociedade Empresária Limitada,"R$ 700000,00",
68.357.615/0001-03,New Soft Informatica Limeira Ltda,New Soft Informatica,R Carlos Gomes,1321,Andar: 3 Patio Office;,Centro,Limeira,SP,13480-013,comercial@ecomex.com.br,(19) 3720-2000,Informática,Desenvolvimento e licenciamento de programas de computador customizáveis,13/08/1992,Demais,Não optante,Sociedade Empresária Limitada,"R$ 1556298,00",51-200
24.678.158/0001-83,Nerd Tecnologia Ltda,Nerd,R Doutor Luis Ignacio de Andrade Lima,170,Loja 03,Janga,Paulista,PE,53435-455,detec@hbcmotoreseletricos.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,28/04/2016,Micro empresa,Optante,Sociedade Empresária Limitada,"R$ 30000,00",
05.026.699/0001-82,Mjgf Solucoes em Sistemas Ltda,Dw Forca de Vendas,R Samuel Heusi,190,Sala 1005 D,Centro Itajai,Itajaí,SC,88301-320,raphael@developweb.com.br,,Informática,Desenvolvimento de programas de computador sob encomenda,11/04/2002,Demais,Excluído,Sociedade Empresária Limitada,"R$ 30000,00",
